SKU,Vendor,Description,Title,Price,Type,Image_Src,Quantity
21476,Redken,"Шампунь для поврежденных волос, 300 мл.",Redken Diamond Oil Shampoo,1311,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-diamond-oil-shampoo---shampun-dlya-povrezhdennyh-volos-69400402-mlDiamond-Oil-shompu_enl.150x150.jpg,11
21477,Redken,"Шампунь для поврежденных волос, 1000 мл.",Redken Diamond Oil Shampoo,2660,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-diamond-oil-shampoo---shampun-dlya-povrezhdennyh-volos-169700402-mlRedken-Diamond-Oil1000__enl.150x150.jpg,17
21478,Redken,"Кондиционер для ломких и секущихся волос, 250 мл.",Redken Diamond Oil Conditioner,1640,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-diamond-oil-conditioner---konditsioner-dlya-lomkih-i-sekuschihsya-volos-89900424-mlDiamond-Oil-kond_enl.150x150.jpg,13
21479,Redken,"Кондиционер для ломких и секущихся волос, 1000 мл.",Redken Diamond Oil Conditioner,3682,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-diamond-oil-conditioner---konditsioner-dlya-lomkih-i-sekuschihsya-volos-23549968-mlRedken_Diamond_Oil_kond-1000_enl.150x150.jpg,10
21480,Redken,"Термозащитное масло, ускоряющее укладку, 100 мл",Redken Diamond Oil,2236,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-diamond-oil---termozaschitnoe-maslo-uskoryayuschee-ukladku-100-mlRedken_Diamond_Oil.150x150.jpeg,10
21481,Redken,"Легкий спрей-масло для волос, 150 мл.",Redken Diamond Oil High Shine Airy Mist,1640,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-diamond-oil-high-shine-airy-mist---legkij-sprej-maslo-dlya-volos-89900424-mlsprey-high-shine-redken-diamond-oil.150x150.jpg,2
21482,Redken,Текстурирующая пудра для объема 7 гр,Redken Powder Grip 03,1109,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-powder-grip-03Redken_Powder_Grip_03.250x250.150x150.jpg,15
21483,Redken,Текстурирующий спрей-воск для завершения укладки 150 мл,Redken Wax Blast 10,1109,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-wax-blast-1014_130.250x250.150x150.jpg,7
21484,Redken,Паста для моделирования и текстурирования волос 75 мл,Redken Rough Paste 12,1109,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-rough-paste-1215_123.250x250.150x150.jpg,2
21485,Redken,Пластичная текстурирующая глина с матовым эффектом 50 мл,Redken Rough Clay 20,1109,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-rough-clay-20Redken_Rough_Clay_20.250x250.150x150.jpg,13
21486,Redken,Ампулы двойного действия против истончения волос,Redken Cerafill Hair Advance with Aminexil,3085,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-cerafill-hair-advance-with-aminexil---ampuly-dvojnogo-dejstviya-protiv-istoncheniya-volosMaximize_HairAdvanced_product_Line.150x150.jpg,7
